LAT,LONG
"17° 46' 34,818"" S","66° 48' 55,740"" W"
"17° 42' 58,167"" S","66° 54' 40,985"" W"
"17° 42' 9,647"" S","66° 53' 45,433"" W"
"17° 48' 19,638"" S","66° 57' 34,984"" W"
"18° 21' 23,800"" S","66° 54' 47,230"" W"
"18° 32' 20,470"" S","66° 53' 2,292"" W"
"19° 8' 30,438"" S","66° 27' 57,093"" W"
"18° 41' 26,180"" S","66° 45' 42,946"" W"
"17° 33' 55,676"" S","67° 21' 37,192"" W"
"18° 58' 35,329"" S","67° 14' 20,656"" W"
"18° 35' 42,047"" S","66° 54' 2,482"" W"
"18° 23' 15,500"" S","67° 5' 45,400"" W"
"18° 31' 55,678"" S","67° 22' 5,478"" W"
"18° 14' 17,792"" S","66° 54' 31,865"" W"
"17° 34' 47,311"" S","67° 29' 37,075"" W"
"17° 55' 49,365"" S","67° 41' 21,119"" W"
"18° 16' 59,596"" S","66° 52' 26,421"" W"
"18° 30' 30,200"" S","66° 57' 27,520"" W"
"18° 17' 19,100"" S","66° 53' 12,720"" W"
"17° 58' 22,408"" S","67° 45' 4,819"" W"
"18° 57' 27,598"" S","66° 19' 47,745"" W"
"18° 9' 59,835"" S","67° 8' 47,330"" W"
"19° 3' 18,442"" S","66° 48' 17,428"" W"
"18° 17' 53,874"" S","66° 50' 36,250"" W"
"17° 29' 31,028"" S","67° 17' 27,588"" W"
"18° 26' 32,804"" S","66° 48' 8,602"" W"
"18° 28' 3,149"" S","66° 59' 6,963"" W"
"18° 52' 23,692"" S","66° 24' 53,462"" W"
"18° 18' 51,065"" S","66° 56' 37,771"" W"
"18° 15' 47,910"" S","66° 52' 51,801"" W"
"19° 2' 59,626"" S","66° 28' 29,529"" W"
"18° 53' 3,640"" S","66° 44' 59,032"" W"
"18° 50' 31,876"" S","66° 25' 9,367"" W"
"18° 26' 33,268"" S","66° 57' 51,581"" W"
"18° 19' 1,458"" S","66° 56' 55,726"" W"
"17° 54' 23,410"" S","67° 1' 53,668"" W"
"18° 48' 14,013"" S","66° 22' 36,537"" W"
"19° 5' 32,530"" S","66° 43' 54,671"" W"
