Latitude,Longitude
N 39° 47' 55'',E 115° 59' 6''
N 39° 57' 3'',E 116° 5' 20''
N 39° 43' 26'',E 115° 52' 57''
N 39° 34' 25'',E 115° 53' 44''
N 39° 48' 38'',E 115° 49' 5''
N 39° 38' 18'',E 115° 51' 30''
N 39° 53' 17'',E 116° 20' 39''
N 39° 48' 31'',E 115° 52' 27''
N 39° 36' 47'',E 116° 41' 17''
N 39° 55' 19'',E 115° 32' 22''
N 39° 47' 31'',E 115° 55' 4''
N 39° 35' 11'',E 116° 22' 57''
N 39° 46' 31'',E 116° 47' 1''
N 39° 48' 0'',E 115° 48' 0''
N 39° 40' 26'',E 116° 17' 4''
N 39° 56' 42'',E 115° 53' 21''
N 39° 51' 22'',E 115° 36' 39''
N 40° 0' 20'',E 115° 56' 17''
N 39° 37' 3'',E 116° 29' 22''
N 39° 56' 39'',E 115° 36' 53''
N 39° 53' 56'',E 116° 23' 30''
N 39° 44' 14'',E 115° 32' 1''
N 39° 39' 7'',E 116° 16' 15''
N 39° 48' 12'',E 116° 23' 25''
N 39° 46' 0'',E 115° 59' 25''
N 39° 47' 25'',E 116° 10' 57''
N 39° 43' 57'',E 116° 2' 55''
N 40° 3' 10'',E 115° 47' 30''
N 40° 23' 11'',E 117° 3' 56''
N 40° 33' 24'',E 116° 25' 0''
N 40° 1' 3'',E 116° 40' 27''
N 40° 8' 46'',E 116° 56' 47''
N 40° 6' 44'',E 116° 12' 52''
N 40° 11' 19'',E 117° 0' 10''
N 40° 8' 0'',E 117° 5' 0''
N 40° 4' 26'',E 116° 12' 57''
N 40° 32' 0'',E 116° 30' 0''
N 40° 35' 26'',E 117° 4' 57''
N 40° 4' 7'',E 115° 43' 11''
N 40° 2' 20'',E 116° 42' 27''
N 40° 9' 7'',E 116° 49' 2''
N 40° 8' 18'',E 116° 7' 42''
N 40° 10' 0'',E 117° 5' 0''
N 40° 19' 6'',E 117° 4' 50''
N 40° 4' 37'',E 116° 9' 3''
N 40° 28' 11'',E 116° 50' 18''
N 40° 9' 40'',E 116° 14' 13''
N 40° 16' 40'',E 117° 7' 27''
N 40° 38' 18'',E 117° 19' 22''
N 40° 9' 48'',E 117° 9' 11''
N 40° 55' 47'',E 116° 37' 13''
N 40° 9' 30'',E 116° 1' 52''
N 40° 24' 57'',E 116° 4' 14''
N 40° 2' 44'',E 116° 15' 14''
N 40° 40' 39'',E 116° 55' 6''
N 40° 26' 46'',E 115° 47' 11''
N 41° 0' 4'',E 116° 37' 17''
N 40° 41' 43'',E 116° 23' 14''
N 40° 2' 31'',E 116° 11' 26''
N 40° 20' 30'',E 116° 44' 9''
N 40° 4' 41'',E 115° 53' 46''
N 40° 3' 27'',E 116° 34' 28''
N 40° 44' 4'',E 116° 38' 13''
N 40° 32' 18'',E 117° 7' 7''
