LAT,LONG
1.504331,10.701945
1.296862,10.577706
1.572087,10.431181
1.404071,10.577395
1.376547,10.61856
1.351219,10.581284
1.404071,10.577395
1.376547,10.61856
1.351219,10.581284
1.904478,10.374307
1.899931,10.200964
1.806408,10.423178
1.751267,10.270746
1.2977,10.768449
1.202535,10.596451
1.806408,10.423178
1.46104,10.525251
1.330818,10.405646
1.214842,10.626184
1.019063,10.056285
2.060604,10.243455
1.440879,10.455439
1.578173,10.351012
1.570842,10.537386
1.446966,10.463115
1.434241,10.352671
1.342661,10.321845
1.328525,10.462305
1.845337,10.534934
2.123832,10.402939
2.123832,10.402939
1.678507,10.39177
1.52551,10.268249
1.516849,10.588254
1.321792,10.211709
1.319488,10.197842
1.551426,10.735174
1.020218,10.787893
1.095513,10.526184
1.386471,10.456321
1.376046,10.656405
1.050955,10.836455
1.064614,10.813701
1.273071,10.699297
1.571086,9.946978
1.571086,9.946978
1.719182,10.419545
1.672865,10.36187
1.504331,10.701945
1.324853,10.481388
1.555575,10.466901
1.915151,10.23223
1.795728,10.464187
1.570115,10.806803
1.45153,10.479002
1.386886,10.359154
1.059634,10.62336
1.307805,10.713218
1.392921,10.378017
1.269649,10.171153
1.968372,10.399121
1.968372,10.399121
1.465863,10.657805
1.459403,10.627847
1.151445,10.531888
1.788202,10.46336
1.35542,10.551945
1.801562,10.222638
1.722502,10.088286
1.722502,10.088286
1.93122,10.470617
1.20393,10.807726
1.48004,10.619338
1.622865,10.483462
1.571086,9.946978
1.571086,9.946978
1.74541,10.16493
1.381181,10.527135
0.981508,10.02991
1.20393,10.807726
1.48004,10.619338
1.93122,10.470617
1.300201,10.459082
1.136679,10.463701
1.399455,10.267108
1.136679,10.463701
1.399455,10.267108
1.399455,10.267108
1.337197,10.586678
1.324853,10.481388
1.337197,10.586678
